Date,Reserves,CPI,Monthly Inflation Rate,Reserves Index,Country
1962-05-01,18124500000,13.85,0.0,23.51869953639958,USA
1962-06-01,18490300000,13.85,0.0,23.99336864674276,USA
1962-07-01,17784500000,13.9,0.3610108303249149,23.07750900190893,USA
1962-08-01,17638600000,13.9,0.0,22.888186357843672,USA
1962-09-01,17610300000,13.94,0.2877697841726645,22.851463733943422,USA
1962-10-01,17435700000,13.94,0.0,22.62489941829028,USA
1962-11-01,17286200000,13.94,0.0,22.4309053450363,USA
1962-12-01,17220400000,13.94,0.0,22.34552200042017,USA
1963-01-01,17177900000,13.94,0.0,22.29037318360884,USA
1963-02-01,17114300000,13.94,0.0,22.207844601274704,USA
1963-03-01,17188500000,13.99,0.35868005738881603,22.304127947331192,USA
1963-04-01,17139900000,13.99,0.0,22.241063653283412,USA
1963-05-01,17113599999,13.99,0.0,22.206936266523723,USA
1963-06-01,17064700000,14.03,0.2859185132237263,22.143482688007833,USA
1963-07-01,16815099999,14.08,0.3563791874554578,21.81959692962531,USA
1963-08-01,16773900000,14.08,0.0,21.766135019096414,USA
1963-09-01,16838000000,14.08,0.0,21.849312411040092,USA
1963-10-01,16947800000,14.12,0.28409090909089496,21.991791001296193,USA
1963-11-01,16817099999,14.12,0.0,21.822192168063488,USA
1963-12-01,16843000000,14.17,0.3541076487252104,21.85580050713554,USA
1964-01-01,16880900000,14.17,0.0,21.90498027553906,USA
1964-02-01,16770500000,14.17,0.0,21.761723113751508,USA
1964-03-01,16894000000,14.17,0.0,21.92197908730914,USA
1964-04-01,16898900000,14.17,0.0,21.928337421482684,USA
1964-05-01,16855500000,14.17,0.0,21.872020747374172,USA
1964-06-01,16591200000,14.22,0.3528581510232831,21.529059987768644,USA
1964-07-01,16628599999,14.26,0.2812939521800173,21.577590945264994,USA
1964-08-01,16690400000,14.22,-0.28050490883589907,21.657783814302384,USA
1964-09-01,16521000000,14.26,0.2812939521800173,21.437967118588514,USA
1964-10-01,16385500000,14.26,0.0,21.262139714401794,USA
1964-11-01,17015200000,14.31,0.3506311360448766,22.07925053666287,USA
1964-12-01,16672400000,14.31,0.0,21.63442666835876,USA
1965-01-01,16342900000,14.31,0.0,21.206861135668557,USA
1965-02-01,15994900000,14.31,0.0,20.75528964742518,USA
1965-03-01,15828900000,14.35,0.2795248078266921,20.53988485705621,USA
1965-04-01,15592300000,14.4,0.34843205574912606,20.23286814981948,USA
1965-05-01,15420000000,14.4,0.0,20.00928835837025,USA
1965-06-01,15761800000,14.49,0.6250000000000089,20.452814607455263,USA
1965-07-01,15565600000,14.49,0.0,20.198221716669774,USA
1965-08-01,15850400000,14.49,0.0,20.56778367026665,USA
1965-09-01,15721200000,14.49,0.0,20.400131267160205,USA
1965-10-01,15639400000,14.54,0.3450655624568588,20.29398601503863,USA
1965-11-01,15547900000,14.54,0.0,20.175253856491878,USA
1965-12-01,15450000000,14.58,0.27510316368639653,20.048216934942953,USA
1966-01-01,15224500000,14.58,0.0,19.75560380103812,USA
1966-02-01,14961800000,14.68,0.6858710562414272,19.414719232183135,USA
1966-03-01,15025900000,14.72,0.2724795640327127,19.497896624126813,USA
1966-04-01,14913900000,14.81,0.6114130434782705,19.352563271588718,USA
1966-05-01,14904500000,14.81,0.0,19.34036565092927,USA
1966-06-01,14957800000,14.86,0.33760972316001503,19.409528755306777,USA
1966-07-01,15148200000,14.9,0.2691790040376896,19.65659545462154,USA
1966-08-01,15014600000,15.0,0.6711409395973034,19.483233526951096,USA
1966-09-01,14876000000,15.0,0.0,19.303383503185202,USA
1966-10-01,14879600000,15.09,0.6000000000000005,19.308054932373924,USA
1966-11-01,14715100000,15.09,0.0,19.094596570833595,USA
1966-12-01,14881700000,15.09,0.0,19.310779932734015,USA
1967-01-01,14195800000,15.09,0.0,18.420742910360076,USA
1967-02-01,13997500000,15.09,0.0,18.163425019214497,USA
1967-03-01,13854600000,15.13,0.2650762094102088,17.977995232806514,USA
1967-04-01,13905700000,15.18,0.33046926635822427,18.04430357490202,USA
1967-05-01,13942500000,15.23,0.32938076416337836,18.092055962164537,USA
1967-06-01,14274300000,15.27,0.26263952724885353,18.522606019058653,USA
1967-07-01,14223600000,15.32,0.3274394237066103,18.456816724650782,USA
1967-08-01,14604800000,15.36,0.26109660574411553,18.95146917096795,USA
1967-09-01,14648600000,15.41,0.32552083333334814,19.008304892764098,USA
1967-10-01,14926700000,15.45,0.2595717066839587,19.369172797593073,USA
1967-11-01,15437600000,15.5,0.3236245954692629,20.032126456626234,USA
1967-12-01,14830200000,15.55,0.3225806451612856,19.243952542950872,USA
1968-01-01,14620000000,15.64,0.5787781350482302,18.97119298309812,USA
1968-02-01,14789800000,15.68,0.2557544757033181,19.19152872649963,USA
1968-03-01,13926500000,15.73,0.3188775510204023,18.071294054659095,USA
1968-04-01,13839700000,15.78,0.31786395422759295,17.95866070644207,USA
1968-05-01,14348300000,15.82,0.25348542458809575,18.618629841271325,USA
